,Adarb1(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Ets1(+),Ezh2(+),Fhl2(+),Fosb(+),Foxm1(+),Gata6(+),Hes1(+),Hmgn3(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mef2c(+),Nfia(+),Nfib(+),Nfix(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
Irf7(+),0.005899705014749235,0.00666666666666671,0.035820895522388096,0.003076923076923088,0.043147208121827374,0.00911854103343468,0.3402366863905325,0.48235294117647054,0.0,0.0,0.0,0.1595092024539877,0.0046948356807511304,0.04790419161676651,0.05044510385756673,0.0,0.005747126436781658,0.017699115044247815,0.012195121951219523,0.029673590504451064,1.0,0.057235421166306644,0.7554945054945055,0.34943181818181823,0.0028818443804035088,0.018461538461538418,0.07154471544715446,0.021246458923512734,0.015625,0.05660377358490565,0.0,0.09696969696969693,0.004728132387706863,0.0851648351648352,0.013440860215053752,0.14180929095354522,0.02564102564102566,0.20285714285714285,0.05670103092783507,0.02123142250530785,0.0056022408963585235,0.044137931034482714,0.05146036161335188
Irf8(+),0.01966717095310133,0.30319888734353273,0.00591715976331364,0.0030441400304414,0.5650406504065041,0.009104704097116834,0.014193548387096744,0.026993865030674802,0.016742770167427756,0.061516452074391936,0.058558558558558516,0.007082152974504208,0.0886981402002861,0.1594594594594595,0.004385964912280715,0.05924855491329484,0.036418816388467334,0.00295857988165682,0.001506024096385561,0.011904761904761862,0.057235421166306644,1.0,0.046286329386437064,0.05483028720626637,0.017937219730941756,0.004538577912254205,0.4356005788712012,0.5100286532951289,0.06480117820324005,0.01115760111576014,0.01957831325301207,0.005788712011577379,0.1296572280178837,0.013927576601671321,0.05970149253731338,0.06666666666666665,0.26846590909090906,0.038567493112947604,0.06294706723891275,0.17122302158273384,0.02215657311669128,0.5181058495821727,0.5252100840336135
Jdp2(+),0.0030030030030030463,0.010152284263959421,0.03658536585365857,0.0031446540880503138,0.039540816326530615,0.0,0.31563421828908556,0.4969879518072289,0.0,0.0050000000000000044,0.0027472527472527375,0.1450617283950617,0.004773269689737458,0.04016064257028118,0.048338368580060465,0.0025510204081632404,0.0029239766081871066,0.01501501501501501,0.012461059190031154,0.017964071856287456,0.7554945054945055,0.046286329386437064,1.0,0.368421052631579,0.002941176470588225,0.018867924528301883,0.065359477124183,0.022922636103151817,0.013227513227513255,0.04336043360433606,0.0029761904761904656,0.08231707317073167,0.004807692307692291,0.07777777777777772,0.010928961748633892,0.13580246913580252,0.018416206261510082,0.18965517241379315,0.052219321148825104,0.01716738197424894,0.002849002849002802,0.04022191400832176,0.04317548746518107
Klf4(+),0.017964071856287456,0.006976744186046546,0.023255813953488413,0.0,0.050000000000000044,0.0,0.20512820512820518,0.30078125,0.0,0.00421940928270037,0.0050000000000000044,0.14364640883977897,0.00390625,0.0535714285714286,0.028089887640449396,0.013274336283185861,0.02285714285714291,0.0,0.012578616352201255,0.005714285714285672,0.34943181818181823,0.05483028720626637,0.368421052631579,1.0,0.0,0.0062893081761006275,0.07964601769911506,0.03578154425612057,0.028169014084507005,0.02314814814814814,0.011695906432748537,0.06703910614525144,0.016000000000000014,0.03703703703703709,0.009803921568627416,0.1127819548872181,0.0401069518716578,0.17370892018779338,0.052863436123347984,0.033333333333333326,0.0,0.05967450271247743,0.05978260869565222
Lef1(+),0.0,0.013245033112582738,0.02083333333333337,0.03703703703703709,0.01945525291828798,0.0,0.0,0.004878048780487809,0.02777777777777779,0.009090909090909038,0.0,0.0,0.12068965517241381,0.017937219730941756,0.03703703703703709,0.0,0.0,0.021739130434782594,0.0,0.02083333333333337,0.0028818443804035088,0.017937219730941756,0.002941176470588225,0.0,1.0,0.0,0.019774011299435013,0.021739130434782594,0.01098901098901095,0.010752688172043001,0.045454545454545414,0.0,0.016000000000000014,0.01041666666666663,0.053333333333333344,0.0119760479041916,0.015503875968992276,0.008196721311475419,0.018181818181818188,0.028089887640449396,0.24489795918367352,0.013245033112582738,0.01777777777777778
Maf(+),0.0,0.0,0.0,0.0,0.003960396039603964,0.0,0.0,0.0,0.0,0.0,0.0,0.032786885245901676,0.018018018018018056,0.004784688995215336,0.08333333333333337,0.0,0.0,0.03448275862068961,0.0,0.06666666666666665,0.018461538461538418,0.004538577912254205,0.018867924528301883,0.0062893081761006275,0.0,1.0,0.0117647058823529,0.004950495049504955,0.0,0.026666666666666616,0.0,0.0,0.0,0.052631578947368474,0.0,0.04109589041095896,0.004098360655737654,0.06000000000000005,0.021505376344086002,0.012195121951219523,0.023255813953488413,0.006833712984054663,0.002272727272727315
Mafb(+),0.029069767441860517,0.2747933884297521,0.0027855153203342198,0.00295857988165682,0.4176570458404074,0.011730205278592365,0.0241758241758242,0.03400000000000003,0.011627906976744207,0.052369077306733125,0.06648199445983383,0.005141388174807249,0.04750593824228033,0.11157024793388426,0.008241758241758212,0.06718346253229979,0.028328611898016942,0.0028011204481792618,0.0029069767441860517,0.0027855153203342198,0.07154471544715446,0.4356005788712012,0.065359477124183,0.07964601769911506,0.019774011299435013,0.0117647058823529,1.0,0.41972920696324956,0.05774278215223094,0.022727272727272707,0.014204545454545414,0.010781671159029615,0.17741935483870963,0.022556390977443663,0.037234042553191515,0.06904231625835189,0.19374999999999998,0.05339805825242716,0.06549118387909325,0.19036144578313252,0.013623978201634857,0.40767824497257765,0.3756708407871199
Mef2c(+),0.019607843137254943,0.30326295585412666,0.004761904761904745,0.0024999999999999467,0.46808510638297873,0.00992555831265507,0.009560229445506718,0.012237762237762184,0.027568922305764465,0.08277404921700227,0.08495145631067957,0.0,0.08405172413793105,0.11317254174397029,0.004683840749414525,0.06981981981981977,0.01674641148325362,0.0,0.004938271604938316,0.004761904761904745,0.021246458923512734,0.5100286532951289,0.022922636103151817,0.03578154425612057,0.021739130434782594,0.004950495049504955,0.41972920696324956,1.0,0.059225512528473856,0.010822510822510845,0.019464720194647178,0.002293577981651418,0.13636363636363635,0.012931034482758674,0.08133971291866027,0.05859375,0.25742574257425743,0.03118503118503113,0.06593406593406592,0.22466960352422904,0.016393442622950838,0.45709281961471104,0.4656084656084656
Nfia(+),0.011904761904761862,0.03264094955489616,0.0,0.0,0.0780952380952381,0.027027027027026973,0.020725388601036232,0.004048582995951455,0.0,0.006578947368421018,0.0357142857142857,0.008264462809917328,0.023809523809523836,0.17982456140350878,0.02083333333333337,0.06666666666666665,0.03296703296703296,0.09876543209876543,0.013333333333333308,0.03409090909090906,0.015625,0.06480117820324005,0.013227513227513255,0.028169014084507005,0.01098901098901095,0.0,0.05774278215223094,0.059225512528473856,1.0,0.07086614173228345,0.06024096385542166,0.0,0.030487804878048808,0.05303030303030298,0.0431034482758621,0.08762886597938147,0.11764705882352944,0.024844720496894457,0.09999999999999998,0.03686635944700456,0.01980198019801982,0.09388646288209612,0.0964912280701754
Nfib(+),0.011627906976744207,0.008645533141210415,0.02197802197802201,0.0,0.023423423423423406,0.06849315068493156,0.041884816753926746,0.020408163265306145,0.0,0.00649350649350644,0.0,0.05084745762711862,0.011627906976744207,0.1581196581196581,0.09890109890109888,0.0,0.0,0.15189873417721522,0.05405405405405406,0.033333333333333326,0.05660377358490565,0.01115760111576014,0.04336043360433606,0.02314814814814814,0.010752688172043001,0.026666666666666616,0.022727272727272707,0.010822510822510845,0.07086614173228345,1.0,0.03448275862068961,0.018867924528301883,0.0239520958083832,0.2702702702702703,0.016528925619834656,0.1966292134831461,0.04436860068259385,0.09868421052631582,0.15555555555555556,0.080952380952381,0.0,0.022357723577235755,0.014141414141414121
Nfix(+),0.05405405405405406,0.010033444816053505,0.0,0.0,0.019607843137254943,0.03448275862068961,0.0,0.0,0.0,0.01904761904761909,0.02941176470588236,0.013333333333333308,0.016129032258064502,0.06698564593301437,0.0,0.053763440860215006,0.021276595744680882,0.07499999999999996,0.0,0.022727272727272707,0.0,0.01957831325301207,0.0029761904761904656,0.011695906432748537,0.045454545454545414,0.0,0.014204545454545414,0.019464720194647178,0.06024096385542166,0.03448275862068961,1.0,0.0,0.008196721311475419,0.033333333333333326,0.0,0.06451612903225812,0.05306122448979589,0.0,0.17391304347826086,0.04069767441860461,0.017857142857142905,0.031746031746031744,0.034168564920273314
Nr1d1(+),0.017857142857142905,0.0062893081761006275,0.0,0.0,0.003731343283582045,0.021276595744680882,0.2158273381294964,0.11111111111111116,0.0,0.0,0.0,0.0444444444444444,0.014084507042253502,0.012605042016806678,0.02941176470588236,0.0,0.0,0.01666666666666672,0.021276595744680882,0.016129032258064502,0.09696969696969693,0.005788712011577379,0.08231707317073167,0.06703910614525144,0.0,0.0,0.010781671159029615,0.002293577981651418,0.0,0.018867924528301883,0.0,1.0,0.0,0.03738317757009346,0.0,0.01666666666666672,0.0,0.03007518796992481,0.008000000000000007,0.0,0.0,0.00424628450106157,0.006396588486140775
Nr1h3(+),0.008403361344537785,0.17846153846153845,0.024390243902439046,0.0,0.15134099616858232,0.009090909090909038,0.0043290043290042934,0.0035460992907800915,0.0,0.010752688172043001,0.04861111111111116,0.0,0.009756097560975618,0.044673539518900296,0.0,0.011299435028248594,0.0,0.008130081300813052,0.0,0.008000000000000007,0.004728132387706863,0.1296572280178837,0.004807692307692291,0.016000000000000014,0.016000000000000014,0.0,0.17741935483870963,0.13636363636363635,0.030487804878048808,0.0239520958083832,0.008196721311475419,0.0,1.0,0.005780346820809301,0.006451612903225823,0.03361344537815125,0.1188118811881188,0.015228426395939132,0.038461538461538436,0.1063829787234043,0.0,0.13080168776371304,0.12869198312236285
Nr2f2(+),0.0,0.008571428571428563,0.0,0.0,0.02146690518783545,0.038461538461538436,0.04123711340206182,0.028455284552845517,0.0,0.012820512820512775,0.0,0.10434782608695647,0.023121387283236983,0.1322314049586777,0.10752688172043012,0.0,0.020618556701030966,0.09302325581395354,0.051948051948051965,0.04347826086956519,0.0851648351648352,0.013927576601671321,0.07777777777777772,0.03703703703703709,0.01041666666666663,0.052631578947368474,0.022556390977443663,0.012931034482758674,0.05303030303030298,0.2702702702702703,0.033333333333333326,0.03738317757009346,0.005780346820809301,1.0,0.008000000000000007,0.13089005235602091,0.030000000000000027,0.14864864864864868,0.11188811188811187,0.09523809523809523,0.009345794392523366,0.02429149797570851,0.01814516129032262
Pax5(+),0.0,0.024464831804281384,0.0,0.0,0.03752345215759845,0.0,0.016574585635359074,0.008583690987124415,0.1578947368421053,0.007194244604316502,0.009803921568627416,0.0,0.19548872180451127,0.007874015748031482,0.0,0.03149606299212604,0.0,0.013333333333333308,0.0,0.0,0.013440860215053752,0.05970149253731338,0.010928961748633892,0.009803921568627416,0.053333333333333344,0.0,0.037234042553191515,0.08133971291866027,0.0431034482758621,0.016528925619834656,0.0,0.0,0.006451612903225823,0.008000000000000007,1.0,0.010204081632653073,0.028268551236749095,0.0,0.021739130434782594,0.0653266331658291,0.09756097560975607,0.029535864978902926,0.03397027600849256
Pbx1(+),0.012499999999999956,0.04166666666666663,0.012048192771084376,0.006849315068493178,0.07345575959933226,0.03378378378378377,0.0703125,0.07973421926910296,0.0,0.00877192982456143,0.0,0.06989247311827962,0.024691358024691357,0.1495016611295681,0.07361963190184051,0.0,0.011834319526627168,0.09933774834437081,0.047945205479452024,0.04347826086956519,0.14180929095354522,0.06666666666666665,0.13580246913580252,0.1127819548872181,0.0119760479041916,0.04109589041095896,0.06904231625835189,0.05859375,0.08762886597938147,0.1966292134831461,0.06451612903225812,0.01666666666666672,0.03361344537815125,0.13089005235602091,0.010204081632653073,1.0,0.10434782608695647,0.1523809523809524,0.375,0.07473309608540923,0.011235955056179803,0.07835820895522383,0.0705009276437848
Pparg(+),0.05371900826446285,0.1409691629955947,0.015564202334630295,0.0,0.33333333333333337,0.012345679012345734,0.011019283746556474,0.0072289156626506035,0.0040322580645161255,0.06953642384105962,0.10852713178294571,0.0,0.05230769230769228,0.158311345646438,0.01132075471698113,0.07903780068728528,0.03125,0.031872509960159334,0.0,0.011627906976744207,0.02564102564102566,0.26846590909090906,0.018416206261510082,0.0401069518716578,0.015503875968992276,0.004098360655737654,0.19374999999999998,0.25742574257425743,0.11764705882352944,0.04436860068259385,0.05306122448979589,0.0,0.1188118811881188,0.030000000000000027,0.028268551236749095,0.10434782608695647,1.0,0.024464831804281384,0.12110726643598613,0.12857142857142856,0.018656716417910446,0.35282258064516125,0.3535353535353535
Sox2(+),0.008695652173912993,0.007978723404255317,0.01666666666666672,0.010000000000000009,0.03466204506065862,0.009433962264150941,0.07547169811320753,0.12048192771084343,0.0,0.005464480874316946,0.0,0.22399999999999998,0.015000000000000013,0.05633802816901412,0.10256410256410253,0.0,0.03305785123966942,0.04347826086956519,0.03883495145631066,0.051724137931034475,0.20285714285714285,0.038567493112947604,0.18965517241379315,0.17370892018779338,0.008196721311475419,0.06000000000000005,0.05339805825242716,0.03118503118503113,0.024844720496894457,0.09868421052631582,0.0,0.03007518796992481,0.015228426395939132,0.14864864864864868,0.0,0.1523809523809524,0.024464831804281384,1.0,0.09467455621301779,0.04489795918367345,0.015151515151515138,0.035019455252918275,0.03913894324853229
