TF,target,importance
Egr1,Stfa2l1,6.026139789952142
Irf7,Smpdl3b,6.020696229323756
Ahr,Tmem158,6.017964006298645
Gata6,Gstm2,6.015981966208852
Nr1d1,Mmp23,6.013400338703254
Zeb2,Laptm5,6.011124177963078
Ar,Pdcd1,6.007435950114857
Gata6,Rbp4,6.006168049935768
Mafb,C1qa,6.0036512624569145
Arg1,Gbp4,5.9963902856221925
Egr1,Mmp23,5.974215637652486
Yod1,Rdh10,5.9674684089761385
Nr4a1,Dusp5,5.960587323698212
Dab2,Cd74,5.955265851966495
Irf8,Dpp7,5.954003615409607
Dab2,Naaa,5.950359074164967
Ezh2,Col1a1,5.944088697440789
Ehf,H1f0,5.940333460269817
Ckmt1,Clic3,5.930576294150594
Hspa5,Gm3336,5.93036048890446
Egr1,Slc7a11,5.926182633839673
Ckmt1,Ier5l,5.922566072616607
Mafb,Hpse,5.920583646023083
Mafb,C1qc,5.915198002916421
Jdp2,Ceacam1,5.906845796880268
Arg1,Prss27,5.9053759391615595
Spats2,Hs3st1,5.905336131503573
Nfix,Gbp2b,5.898943108544645
Bhlhe41,Pdpn,5.896800171892472
Gata6,Chka,5.89344705876803
Bhlhe41,Pcsk6,5.881593760792322
Ehf,Gbp4,5.880181387656668
Tcf4,Serping1,5.877841315551539
Sox4,Slc1a3,5.869400848656675
Nr2f2,Itga1,5.867011127910051
Celf4,Meg3,5.86640740965993
Irf7,Ifit1bl1,5.862132743624401
Arg1,Lrrc26,5.832554417249827
Irf7,Zbp1,5.832503686652458
Id1,Gm19951,5.8217067552653115
Zeb2,Bcl2a1a,5.811669042716916
Tcf4,Ltbp1,5.80565072857323
Ets1,Mcpt8,5.803874248183676
Irf7,Fgfbp1,5.8033507289382875
Mafb,Slfn5,5.799440068132245
Foxm1,Tpx2,5.788849716367801
Irf8,Tmem106a,5.78540742431326
Irf8,Anxa5,5.7844073616856795
Tfec,AI504432,5.784347649593363
Id2,Ftl1,5.783356136311872
Dab2,F7,5.7784043759802115
Bhlhe41,Cerk,5.777409996566033
