TF,target,importance
Msi2,Mia,6.550579932796064
Elf5,Calml3,6.549226345236499
Acaa1b,Lpl,6.547679040019488
Gadd45a,Rps2,6.5445111510599006
Anxa1,Stfa3,6.544120551281332
Id2,Rab27b,6.543523182611073
Nfib,Pi15,6.542776131216387
Pax5,Pou2af1,6.542299308144519
Anxa1,Tgm1,6.542118814569177
Irf8,Plxnd1,6.536720856015519
Mafb,Ccl9,6.535463404037013
Ebf1,Cd79b,6.5214213460586405
H2afz,Cdkn3,6.519416558267616
Canx,S100a4,6.518478881204929
Nme1,Acp5,6.517110657740218
Mafb,Psap,6.517039927003295
Tcf7,Cd28,6.515998294854711
Gadd45a,Hcar2,6.51432553910183
Atf3,Cst3,6.5056717110252045
Nkx2-1,Esm1,6.505650837344065
Ebf1,Blk,6.498073624547784
Anxa1,Crip1,6.495448865437832
Nfib,Sparc,6.492632311425716
Nfib,Igfbp7,6.492041851847697
Pou2f2,Clec4a1,6.489118393590671
Pou2f2,Adgre4,6.487505858239169
Pax5,Iglc3,6.4840344981025115
Pparg,Mical2,6.47279503595333
H2afz,Stmn1,6.471819759178358
Nfib,Egfr,6.464832920652591
Anxa1,Hbb-bt,6.462546011488715
Tcf4,Cox6a2,6.452893010993
Ckmt1,Padi1,6.4472562593148615
Ahr,Plac8,6.446138959183734
Ehf,Ly6k,6.441025649850207
Nfib,Serping1,6.4378950409721
Gadd45a,Stfa2,6.435394197978884
Ahr,Ms4a6c,6.434805441385572
Ikzf2,Ank3,6.430747834898087
Acaa1b,Bcl2a1a,6.425950338330436
Anxa1,Ccl6,6.424457927032213
Anxa1,Slfn4,6.423572409637818
Nme1,Lamp1,6.421421876645349
Irf8,Erp29,6.419787469698134
Mef2c,Zeb2,6.417090520083872
Gadd45a,Mmp8,6.413012882715954
Nfib,Adam33,6.410781606081828
Nfib,Fam198b,6.408404260961585
Irf8,Itga2,6.405856756366312
H2afz,Asf1b,6.401953961221252
Tcf7,Ptma,6.39794211701606
Egr1,Fosb,6.395550293396496
Pax5,Bank1,6.394583865723647
Pou2f2,Erp29,6.393176659886927
Zeb2,Flna,6.386771198976067
Mafb,Mcub,6.385901973077559
Irf8,Plac8,6.380465258268992
Arg1,Tgfb2,6.379468755160408
Mxd3,Ccna2,6.374285623678941
Anxa1,Alas2,6.373613874935903
Tcf7,Cd7,6.369941762178396
Fhl2,Apol7a,6.368163903006241
H2afz,Foxm1,6.366711127086396
Ehf,Ckmt1,6.36634369057269
Nme1,Cd2ap,6.365961539761155
Sox2,Eya2,6.353420261917653
Foxm1,Ccna2,6.351399536166315
Mxd3,Foxm1,6.341800139625216
Acaa1b,Slc39a2,6.339511770487307
Ehf,2010109I03Rik,6.324007920216884
Gadd45a,Adam8,6.320855289428494
Mef2c,Ctss,6.320732899567873
Irf8,Emp3,6.319465782452393
Nfib,Tjp1,6.318851450939751
Gata6,Ifit1bl1,6.316234094649441
Tcf7,Bcl11b,6.311077641813532
Lmo2,Lamp1,6.310324981325016
Sox2,2310007B03Rik,6.307735608540313
Irf7,Cidea,6.289260126988284
Nr2f2,Col1a1,6.272999209947602
H2afz,Tacc3,6.270412064753008
Bcl11b,Trbc1,6.268775171034112
Egr1,Dusp5,6.264863475049246
Ezh2,Aspm,6.25044572080508
Mafb,Ctsc,6.244163232568111
Hspa5,Dnajb1,6.244029808375177
H2afz,Nusap1,6.243013124139034
H2afz,Hist1h4d,6.239502521402038
Pou2f2,Gjb2,6.238538856009353
Acaa1b,Ctsd,6.237110496450043
Zeb2,Hist1h2ac,6.236045823231265
Ehf,Fxyd3,6.230415362582457
H2afz,Prc1,6.224248260169112
Nr1d1,Cmtm8,6.213798856595782
Irf8,Calr,6.213607615156952
Gadd45a,Dgat2,6.208694792579364
Acaa1b,Fabp1,6.20601937060247
Ets1,Trbc2,6.204053519709188
Klf4,Smpdl3a,6.202722294317706
Mafb,Gpx1,6.19925534277852
Nme1,C1qbp,6.191891410331199
Ikzf2,Maf,6.191848300562156
Bhlhe41,Tbxas1,6.184957779976913
Nfib,Igf1,6.16700925536184
Nr2f2,Plat,6.161499605064692
Nme1,H2afz,6.161119930636411
Dab2,Mertk,6.148325439774305
H2afz,Hist1h1b,6.146020643610526
Gadd45a,S100a3,6.128757744622899
Irf7,Ifit3b,6.127597319547473
Pou2af1,Pax5,6.126706857229875
Acaa1b,Xlr,6.116285788944282
Gadd45a,mt-Nd1,6.114635854679011
Ehf,Aldh3a1,6.1076164773970625
Hmgn3,Eya2,6.100466412799666
Pou2f2,Hspa1a,6.095929386800369
Bcl11b,Plcxd2,6.093281809729732
Irf8,Mpeg1,6.092465651498509
Mef2c,Cybb,6.091548786819911
Irf8,H2afz,6.088241534971319
Nfib,Abi3bp,6.086329918132439
Bhlhe41,Sort1,6.085490810746636
Gadd45a,Fabp5,6.078586229812776
Foxm1,Top2a,6.071553427164043
Mafb,BC028528,6.069488122216972
Nfix,Tmem158,6.066120504623354
Acaa1b,Phlda3,6.062775854469086
Tcf7,Cd3e,6.062723478941867
Pou2af1,Cd79a,6.0618051842803915
Tcf7,Klk8,6.06043420858689
Lef1,Ms4a4b,6.0499546290001565
Nme1,Akr1b3,6.046369881990203
Canx,Dusp3,6.045874914644438
Irf8,H2-DMa,6.043521225102122
Nme1,Chil3,6.042556462038351
Arg1,Saa3,6.0398780133217365
Pax5,Cd79b,6.036978214353171
Nr4a1,Kcnk2,6.034747955072965
Nme1,Prdx1,6.033802718268937
Bhlhe41,F7,6.0330197654682465
Acaa1b,Axl,6.032760777109195
Anxa1,Orm1,6.032001769544599
Tfec,Neil3,6.028923200225842
Egr1,Hcar2,6.027091176752853
Lef1,Dapl1,6.026743243225072
Bcl11b,Rpl3,6.023966139311465
Arg1,C1qc,6.023227704328475
Mxd3,Tubb4b,6.020936375935031
Anxa1,Tst,6.018070886548594
Nfib,Ifi205,6.012495388253102
Hspa5,Ccl4,6.011632256947906
Dab2,Tgfbr2,6.0086984483650605
Ahr,Zeb2,6.005228576840986
Mafb,Trem2,6.004191860788822
Ebf1,Fcer2a,5.998428467146125
Nme1,Evl,5.99658443250637
Bhlhe41,AI504432,5.995416992986934
Nr2f2,Fmo1,5.994782473988032
Ehf,Aqp5,5.98754261400017
Mafb,Tgfbi,5.985150078240208
Nme1,Lgals1,5.9819054713356445
Ebf1,H2-DMb2,5.975896062691944
Mafb,Cst3,5.975259087279993
Mafb,Csf1r,5.9721105299473685
Irf8,Lrg1,5.962542609593895
Arg1,C1qb,5.958025461552801
Ahr,Ly6c2,5.957395586498059
Canx,Ms4a6c,5.95442703096111
Nfib,Timp3,5.949259504225356
Nfib,Slc36a2,5.934324161583007
Id1,Npnt,5.931830133004095
Dab2,Serpinb6a,5.923598269100766
Nfib,Il33,5.917328630900464
Ets1,Cd69,5.917137646168991
